STAID,LAT_GAGE,LNG_GAGE,DRAIN_SQKM
01200000,41.658983,-73.528458,532.5849
01300000,40.983709,-73.687351,24.1038
01300500,40.955932,-73.718186,11.7243
01301000,40.954543,-73.734575,58.20592
01301500,40.91121,-73.813467,14.5044
01302000,40.935932,-73.83569,113.661
01302020,40.862306,-73.874389,101.5866
01302500,40.863433,-73.634294,30.3381
01303000,40.887599,-73.563736,27.3879
01303500,40.857321,-73.463455,19.0377
01304000,40.849542,-73.224281,57.89507
01304500,40.91371,-72.686764,192.3507
01305000,40.830376,-72.906215,190.2237
01305500,40.767043,-72.993719,21.29928
01306000,40.765654,-73.020664,36.3186
01306440,40.792598,-73.165669,41.7267
01306460,40.772043,-73.158724,55.7127
01306500,40.747598,-73.150391,72.1854
01307000,40.737043,-73.201782,13.9932
01307500,40.72621,-73.244284,11.0025
01308000,40.704266,-73.314008,58.2192
01308500,40.70871,-73.328453,94.33336
01309000,40.691766,-73.355121,10.0314
01309500,40.688989,-73.454846,94.45462
01309950,40.67871,-73.51568,37.7784
01310000,40.678712,-73.515682,39.5037
01310500,40.665657,-73.56985,78.0714
01311000,40.666492,-73.659297,26.1522
01311500,40.663714,-73.704576,18.0594
01311810,40.66206,-73.74331,33.5412
01312000,43.966174,-74.130704,498.2193
01315000,43.756453,-74.267093,337.5252
01315500,43.700898,-73.983466,2058.557
01317000,43.609512,-73.737623,1355.597
01318500,43.31896,-73.844289,4332.634
01319000,43.473678,-74.223191,292.707
01321000,43.352847,-74.270415,1263.694
01325000,43.31146,-73.867346,2776.659
01327750,43.269517,-73.595949,7334.232
01328000,43.306184,-73.548448,37.8747
01329490,43.108687,-73.421779,1026.605
01329500,43.101465,-73.431501,1046.997
01330000,43.03063,-73.927347,63.7596
01330500,43.038408,-73.909291,219.8817
01331095,42.935632,-73.651784,9784.651
01333500,42.763968,-73.337333,140.9163
01334500,42.938689,-73.377056,1324.343
01335754,42.829244,-73.666229,11970.2
01336000,43.264514,-75.436286,386.4249
01343060,43.36618,-74.957658,609.7887
01346000,43.068959,-74.988212,1439.444
01347000,43.014793,-74.779315,3450.5
01348000,43.016738,-74.740702,756.468
01349000,42.929517,-74.625976,157.662
01349150,42.876184,-74.602919,154.8242
01349700,42.249253,-74.302645,92.7072
01349705,42.237031,-74.340147,249.201
01349711,42.185088,-74.276812,12.6972
01349810,42.230365,-74.392926,73.656
01349840,42.28953,-74.115971,5.2092
01349950,42.308418,-74.389869,177.9192
01350000,42.319528,-74.436537,612.5148
01350035,42.338139,-74.451537,67.71329
01350080,42.377026,-74.412924,83.8404
01350101,42.397303,-74.450425,817.1208
01350120,42.406191,-74.447091,29.4678
01350140,42.428968,-74.472925,43.7598
01350180,42.465911,-74.462091,928.5067
01350355,42.537021,-74.41042,1153.139
01351500,42.800075,-74.262907,2320.989
01356190,42.78369,-73.85679,40.6341
01357500,42.785356,-73.707619,9113.444
01358000,42.7523,-73.689007,20981.08
01359750,42.53397,-73.737065,82.5012
01360640,42.55203,-73.5915,24.9228
01361500,42.404526,-74.151527,252.7428
013621955,42.108979,-74.451818,32.7042
01362198,42.116479,-74.388483,154.1376
01362200,42.117034,-74.380149,169.1902
0136230002,42.07972,-74.33458,53.1855
01362370,42.102028,-74.310889,80.2485
01362497,42.019536,-74.266258,43.1595
01362500,42.014259,-74.270703,493.1622
01363382,41.965648,-74.292926,44.2872
01364500,42.037869,-73.972081,1084.421
01364959,41.937037,-74.374596,14.0391
01365000,41.866482,-74.4871,99.5688
01365500,41.845092,-74.540435,54.4473
01366650,41.71426,-74.389043,139.8762
01367500,41.843148,-74.085976,940.1213
01369000,41.27565,-74.471547,253.2492
01369500,41.339261,-74.362098,25.0758
01371500,41.686205,-74.165146,1866.345
01372058,41.650927,-73.944582,30781.58
01372500,41.653149,-73.872635,441.8134
0137449480,41.44725,-73.556083,156.0924
01374505,41.394539,-73.607072,218.3022
01374531,41.373778,-73.63875,231.8166
01374559,41.470649,-73.760132,28.9323
01374581,41.449816,-73.73652,57.5631
01374598,41.475861,-73.689472,10.107
0137462010,41.411806,-73.69375,110.7324
01374654,41.432194,-73.651778,35.8524
01374701,41.357872,-73.668185,207.7434
01374781,41.326972,-73.591389,33.5295
01374821,41.327194,-73.655833,61.8084
01374890,41.260222,-73.601861,40.6683
01374901,41.266206,-73.665685,73.6182
01374918,41.249539,-73.670408,49.2003
01374930,41.338139,-73.768694,34.5879
01374941,41.287611,-73.753639,50.7519
01374987,41.22875,-73.743611,45.47009
0137499350,41.262038,-73.842914,20.385
01375000,41.225094,-73.859303,980.0289
01376500,40.937321,-73.889024,62.53778
01376800,41.095652,-73.964027,80.5878
01387400,41.140373,-74.168479,231.6789
01387420,41.118429,-74.160145,247.6512
01387450,41.141111,-74.116111,32.1759
01413088,42.29167,-74.55972,47.4039
01413398,42.150922,-74.601266,121.0032
01413408,42.146755,-74.62321,212.7726
01413500,42.14481,-74.653489,424.1025
01414000,42.133143,-74.695434,90.4221
01414500,42.106199,-74.730435,64.4517
01415000,42.120087,-74.818493,85.6287
01415460,42.147111,-74.905222,20.529
01417000,42.075087,-74.976275,960.9337
01417500,42.024809,-75.11989,1183.973
01418500,41.963144,-74.866828,213.0075
01419500,41.903422,-74.812661,162.2061
01420000,41.872867,-74.797105,52.461
01420500,41.946477,-74.979609,627.0471
01420980,41.976198,-75.170725,1982.696
01421000,41.973143,-75.174058,2029.478
01421610,42.37147,-74.669042,38.8476
01421618,42.361193,-74.662098,37.3266
01421900,42.280362,-74.907105,347.6808
01422000,42.271111,-74.918056,368.6544
01422389,42.2387,-74.73599,3.2004
01422500,42.252308,-74.90155,128.9304
01422738,42.259529,-75.041832,1.6659
01422747,42.172863,-75.121279,63.9018
01423000,42.166196,-75.139891,859.6809
0142400103,42.173695,-75.27934,52.8453
01425000,42.074806,-75.396009,1180.565
01426000,42.058695,-75.427955,174.9393
01426500,42.00314,-75.383508,1539.334
01427500,41.760922,-75.048223,286.6103
01428000,41.564256,-75.015168,118.6839
01432900,41.668145,-74.780441,198.6642
01433500,41.461481,-74.758775,523.6794
0143400680,41.967037,-74.447931,23.4315
01434017,41.92537,-74.540156,59.5485
01434021,42.011203,-74.414318,2.1798
01434025,41.99537,-74.500987,9.7002
01434498,41.920369,-74.574601,87.8508
01435000,41.890092,-74.589879,172.458
01436000,41.820091,-74.635437,240.6915
01436500,41.756758,-74.597382,292.7349
01436690,41.638064,-74.616883,443.0349
01437000,41.495926,-74.646273,576.8766
01437500,41.441204,-74.601828,793.9593
01496500,42.665631,-74.959601,264.987
01498500,42.44508,-74.963493,432.8217
01500000,42.333415,-75.234894,267.1911
01500500,42.32147,-75.316564,2553.296
01502000,42.545354,-75.239057,152.235
01502500,42.377856,-75.406011,1346.199
01503000,42.035355,-75.802968,5790.808
01505000,42.678682,-75.510457,661.4244
01505500,42.563961,-75.552405,150.6528
01507000,42.324519,-75.771304,1527.529
01507500,42.39285,-75.803805,211.7367
01509000,42.602848,-76.159373,759.843
01510000,42.541181,-75.899642,382.986
01510500,42.421739,-75.949367,566.28
01512500,42.218131,-75.84825,3833.719
01513831,42.097296,-76.266322,10920.82
01514000,42.129241,-76.270489,480.7152
01520000,41.99674,-77.139972,776.2662
01520500,42.028685,-77.132194,1987.247
01521500,42.395902,-77.711382,79.7373
01523500,42.334792,-77.683048,151.6824
01524500,42.313959,-77.651102,407.664
01525500,42.222295,-77.417761,888.2514
01525981,42.072295,-77.298868,261.9225
01526000,42.06674,-77.28359,295.1541
01526500,42.121185,-77.129138,3557.479
01527000,42.500069,-77.500266,142.2972
01527500,42.397848,-77.417484,412.4034
01528000,42.388404,-77.357759,174.8952
01529000,42.308129,-77.196919,202.8213
01529500,42.252574,-77.216642,1222.193
01529950,42.146463,-77.057468,5200.679
01530500,42.104519,-76.798011,207.0789
03011020,42.156452,-78.715309,4161.725
03013000,42.170893,-79.069209,747.7335
03014500,42.112558,-79.203936,499.3146
04213500,42.46395,-78.935035,1128.811
04214500,42.854781,-78.755031,368.3547
04215000,42.890059,-78.645028,248.0184
04215500,42.829781,-78.775031,350.7246
04216200,42.911447,-78.795588,39.4551
04216418,42.863949,-78.283628,196.4727
04216500,42.877005,-78.163069,62.5806
04217000,42.99756,-78.188628,443.268
04217500,43.09117,-78.453913,588.33
04218000,43.093113,-78.63614,896.9733
04218518,42.977836,-78.763643,220.2912
04220250,43.30284,-77.81362,76.3263
0422026250,43.25367,-77.74223,25.0614
04221000,42.12229,-77.957225,750.879
04221500,42.163957,-77.980281,799.515
04223000,42.570341,-78.042228,2547.669
04224775,42.535623,-77.704161,231.8445
04225000,42.560067,-77.715551,402.5943
04227000,42.737007,-77.840558,876.1599
04227500,42.766729,-77.838892,3692.064
04227995,42.85389,-77.71528,186.6177
04228500,42.917841,-77.757226,4343.949
04229500,42.957285,-77.588887,502.4898
04230380,42.744228,-78.137511,107.0739
04230500,43.010062,-77.791395,524.7018
04231000,43.100617,-77.882232,340.8813
04231600,43.141722,-77.616306,6383.732
04232000,43.180618,-77.627502,6402.274
04232034,43.027841,-77.47805,100.0665
04232050,43.130341,-77.518608,77.44231
0423205010,43.145063,-77.511942,379.7046
04232100,43.325345,-76.647171,111.393
04232482,42.680348,-76.953852,532.5489
04233000,42.393129,-76.544943,91.8999
04233286,42.381462,-76.394382,68.3577
04233300,42.403129,-76.434938,98.487
04234000,42.453406,-76.472717,320.6385
0423401815,42.552611,-76.533833,231.0624
04235250,42.957842,-77.068027,260.5797
04235500,42.946733,-76.598555,532.4742
04237500,43.157012,-76.331598,8110.094
04237962,42.90007,-76.16909,100.6263
04239000,42.983399,-76.150758,245.6235
04240010,43.057567,-76.162425,331.6887
04240100,43.0359,-76.181592,25.8525
04240120,43.077289,-76.170203,75.8016
04240180,42.9209,-76.329376,116.928
04240200,43.039233,-76.307986,211.581
04240300,43.0809,-76.226316,289.476
04240503,43.11957,-76.24632,749.7486
04242500,43.301736,-75.618793,482.0616
04243500,43.097569,-75.63907,300.4533
04245000,43.030066,-76.013254,222.0219
04245200,42.933955,-76.061867,85.023
04246500,43.247013,-76.169648,3535.964
04247000,43.205068,-76.217705,3728.815
04249000,43.451735,-76.505219,13209.39
04250200,43.533403,-76.038533,615.1113
04250750,43.813398,-76.074646,325.4256
04252500,43.511736,-75.30656,784.4697
04253500,43.712568,-74.970452,137.5848
04254500,43.610346,-75.110448,949.6548
04256000,43.747291,-75.334347,232.4457
04257000,43.898955,-75.05185,442.0134
04258000,43.897291,-75.404075,754.8174
04260500,43.985616,-75.924646,4842.863
04261000,44.220895,-74.849632,377.1774
04262000,44.222562,-75.074365,688.0284
04262500,44.185619,-75.330759,667.8441
04263000,44.599506,-75.378829,2548.609
04265000,44.524505,-75.196318,863.6112
04265432,44.846667,-75.078056,1558.643
04266500,44.234783,-74.571841,1877.755
04267500,44.51173,-74.882972,2427.362
04268000,44.838941,-74.978813,2906.573
04268800,44.598672,-74.737134,443.9079
04269000,44.863664,-74.778801,1595.087
04270000,44.756161,-74.218771,343.2393
04270200,44.940045,-74.556299,235.8702
04270510,44.963656,-74.131007,390.8169
04271500,45.000038,-73.500972,630.4005
04271815,44.902262,-73.415135,130.5369
04273500,44.68171,-73.471246,1581.609
04273700,44.640044,-73.494858,169.8543
04273800,44.594212,-73.496246,176.9175
04275000,44.438936,-73.681528,512.8056
04275500,44.451436,-73.642638,1151.838
04276500,44.358383,-73.396797,694.3284
04276842,43.942557,-73.463734,134.739
04278300,43.663398,-73.603454,57.7062
04279000,43.843949,-73.432064,670.7196
04280450,43.463959,-73.284276,435.6306
