STAID,Norm_Peak_Flow_mmd
01200000,13.2
01301000,69.09
01302020,39.58
01303000,6.27
01303500,4.55
01304000,4.81
01304500,0.82
01305000,0.52
01305500,2.62
01306440,1.41
01306460,5.26
01306500,2.87
01308000,5.88
01308500,4.58
01309500,2.92
01309950,7.76
01310000,3.29
01310500,12.93
01311500,25.3
01312000,24.12
01315000,7.26
01315500,19.12
01317000,7.72
01318500,12.62
01321000,33.45
01325000,6.7
01327750,8.1
01329490,15.01
01330000,32.27
01331095,7.31
01333500,37.81
01334500,19.4
01335754,8.58
01336000,20.21
01343060,50.58
01346000,24.41
01347000,14.14
01348000,36.33
01349000,89.66
01349150,41.07
01349700,76.8
01349705,111.05
01349711,108.6
01349810,74.56
01349950,37.06
01350000,69.88
01350035,41.86
01350080,33.25
01350101,41.3
01350120,12.92
01350140,50.25
01350180,37.05
01350355,34.44
01351500,19.85
01357500,14.2
01358000,10.26
01360640,45.25
01361500,48.93
013621955,35.77
01362200,51.4
0136230002,78.62
01362370,87.23
01362497,60.2
01362500,67.22
01363382,58.78
01364500,15.87
01365000,60.5
01365500,63.71
01367500,27.85
01371500,14.94
01372058,7.3
01372500,16.86
0137449480,14.99
01374505,8.75
01374531,10.89
01374559,25.11
01374581,19.38
01374598,47.68
0137462010,11.4
01374701,11.08
01374781,32.25
01374821,19.97
01374890,22.18
01374901,20.48
01374930,23.95
01374941,11.71
01375000,12.96
01376500,33.73
01376800,31.47
01387400,23.13
01387420,22.6
01387450,50.15
01413088,14.44
01413398,30.7
01413408,40.09
01413500,29.78
01414000,39.06
01414500,55.68
01415000,30.89
01415460,69.04
01417000,10.07
01417500,11.2
01419500,52.25
01420500,48.51
01421000,21.29
01421610,23.12
01421618,64.78
01421900,25.9
01422500,41.0
01422747,57.12
01423000,22.18
0142400103,104.18
01425000,7.91
01426500,11.4
01427500,69.48
01428000,53.89
01432900,32.79
01433500,12.39
0143400680,167.65
01434017,90.83
01434021,160.86
01434025,116.59
01434498,92.1
01435000,72.49
01436000,29.52
01436690,24.23
01437500,18.56
01500000,15.94
01500500,10.24
01502500,14.6
01503000,11.56
01505000,15.86
01507000,14.43
01509000,16.35
01510000,26.34
01512500,13.52
01513831,12.04
01514000,37.64
01520000,11.76
01520500,10.3
01521500,22.46
01523500,16.36
01524500,18.39
01525500,23.08
01525981,68.19
01526500,13.27
01527500,14.52
01529500,13.42
01529950,13.24
03011020,11.67
03014500,7.57
04213500,36.74
04214500,36.46
04215000,59.01
04215500,45.17
04216418,42.38
04217000,17.03
04218000,9.77
04218518,20.65
0422026250,31.29
04221000,22.12
04223000,18.0
04224775,26.3
04227000,7.34
04227500,4.55
04227995,8.32
04228500,4.47
04229500,10.14
04230380,35.33
04230500,9.96
04231000,10.09
04231600,4.52
04232034,14.31
04232050,24.75
0423205010,10.44
04232100,15.24
04232482,9.24
04233286,72.36
04233300,53.05
04234000,22.08
0423401815,44.97
04235250,16.45
04237500,2.97
04237962,15.88
04239000,13.3
04240010,15.43
04240100,22.14
04240120,29.72
04240180,4.21
04240300,9.69
04242500,42.18
04243500,33.99
04245200,33.21
04247000,5.31
04249000,4.17
04250200,22.54
04250750,33.08
04252500,21.35
04254500,21.64
04256000,27.88
04258000,9.58
04260500,11.9
04262000,10.18
04262500,15.06
04263000,8.35
04265000,10.48
04265432,11.36
04266500,6.56
04267500,6.39
04268000,6.32
04268800,13.88
04269000,11.84
04270000,21.45
04270200,20.49
04271500,13.89
04271815,12.85
04273500,9.18
04273700,12.67
04273800,9.67
04275000,40.2
04275500,26.61
04276500,17.88
04276842,19.05
04279000,4.52
04280450,20.77
